"code","iso","country","USX.ind.1995","USX.ind.1996","USX.ind.1997","USX.ind.1998","USX.ind.1999","USX.ind.2000","USX.ind.2001","USX.ind.2002","USX.ind.2003","USX.ind.2004","USX.ind.2005","USX.ind.2006","USX.ind.2007","USX.ind.2008","USX.ind.2009","USX.ind.2010","USX.ind.2011","USX.ind.2012","USX.ind.2013","USX.ind.2014","USX.ind.2015","USX.ind.2016","USX.ind.2017","USX.ind.2018","USX.ind.2019","USX.ind.2020","USX.ind.2021","USX.ind.2022","USX.ind.2023","USX.ind.2024"
4,"AFG","Afghanistan",1.7,1.9,2.1,2.2,2.4,2.6,2.9,3.3,3.7,4.3,4.8,5.4,5.8,6.5,7.3,8.2,9.1,9.9,10.7,11.7,12.4,12.9,13.4,14,14.5,15,15.4,15.4,15.4,15.4
8,"ALB","Albania",41.5,42.6,43.4,44.4,45.6,46.8,48.7,50.6,52.5,54.5,56,56.4,56.8,57,57.4,57.6,58,59,60.1,61.3,62.6,63.6,63.9,64.7,65.5,66.1,66.6,66.6,66.6,66.6
12,"DZA","Algeria",28.2,29.4,30.6,31.7,32.8,34.1,35.4,36.7,38.1,39.6,41.1,42.6,44,45.8,47.6,49.5,51.4,53.2,54.1,55.2,56.2,57.2,58.7,59.8,60.8,61.5,62.3,62.3,62.3,62.3
20,"AND","Andorra",94.9,96,97.1,98.3,99.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",0.9,1,1.2,1.3,1.4,1.6,1.7,2,2.3,2.7,3.1,3.6,4.2,4.6,5,5.6,6.2,7.1,8.2,9.4,10.6,11.3,12.1,12.9,13.6,14.4,15.1,15.1,15.1,15.1
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",18,17.9,18,18.1,18.3,18.5,18.2,19.6,20.9,22.3,23.7,25.2,26.5,27.9,29.1,30.3,31.2,31.9,32.8,33.4,33.8,34.3,34.8,35.4,36,36.5,36.9,36.9,36.9,36.9
32,"ARG","Argentina",22.3,23.9,25.6,27,28.5,30.5,32.2,34.8,36.2,37.6,40.2,42.4,44.1,46,48.2,50.3,51.4,52.4,53,53.5,55,56.2,57.4,58.5,59.4,60.1,60.7,60.7,60.7,60.7
51,"ARM","Armenia",29.1,29.8,30.6,31.4,32.2,33.2,33.6,34.1,34.6,35.1,35.8,36.3,36.6,36.8,36.6,36.4,36.9,37.1,37,36.8,36.4,37.8,38.4,38.9,39.4,39.7,40,40,40,40
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",62.8,64.2,65.7,67.1,68.7,70.3,72,73.5,74.1,74.7,75.1,75.3,75.2,75.8,76.7,77.7,78.5,78.8,79.6,80.1,80.6,81.3,81.8,82.4,83.1,83.4,83.8,83.8,83.8,83.8
40,"AUT","Austria",71.7,73,74.5,75.7,76.9,78.2,79.4,80.2,80.9,81.5,82.3,83.2,83.9,84.6,85.4,86.1,87,87.8,88.4,89,89.4,89.8,90.3,90.8,91.3,91.5,91.7,91.7,91.7,91.7
31,"AZE","Azerbaijan",26.8,26.6,26.5,26.2,26.1,26.1,26.6,27.4,28.2,29,30.1,31.6,33.1,34.4,35.9,37.4,39,40.5,41.9,43.3,44.4,45.1,45.7,46,46.3,46.5,46.7,46.7,46.7,46.7
44,"BHS","Bahamas",42.7,43.8,45.2,47.2,49.6,52,52.8,53.2,53.7,54.5,55.9,57.1,57.8,59,60.3,61.8,63,63.8,64.6,65,65.5,65.8,66.3,66.7,67.2,67.4,67.7,67.7,67.7,67.7
48,"BHR","Bahrain",35.6,37.1,38.4,39.5,40.8,42.4,43.9,45.3,47,48.6,50,51.5,52.9,54.9,56.9,58.6,60.1,61.5,62.7,63.9,64.7,65.3,66.1,66.9,67.7,68.2,68.7,68.7,68.7,68.7
50,"BGD","Bangladesh",2.9,3.2,3.5,3.8,4.1,4.3,4.6,4.9,5.2,5.5,5.8,6.1,6.6,7.1,7.7,8.3,9,9.7,10.3,11,11.6,12.2,13,13.9,14.8,15.4,16,16,16,16
52,"BRB","Barbados",36.4,37,37.6,38.2,38.9,39.7,40.1,40.9,41.9,42.8,43.6,44.4,45.1,46.1,47.1,48.2,49.1,49.9,50.6,50.5,50.7,50.9,51.3,51.6,52.1,52.3,52.6,52.6,52.6,52.6
112,"BLR","Belarus",58.2,58.9,59.3,59.6,60,60.8,62,63.2,64.5,66.1,67.6,68,68.4,69.3,70.4,71.5,72,72.5,73.4,74.4,75.2,75.7,76.2,76.8,77.4,77.7,78.1,78.1,78.1,78.1
56,"BEL","Belgium",79.6,81,82.5,83.9,85.1,86.4,87.9,89.8,90.7,91.6,92.6,93.6,94.6,95.7,97,98.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",21.3,22.3,23.3,24.3,25.3,26.2,26.9,28,29.2,30.5,31.8,33.4,35,36.8,38.6,40.4,42.2,43,43.9,44.3,44.8,45.2,45.8,46.4,47,47.3,47.6,47.6,47.6,47.6
204,"BEN","Benin",0,0,0,0,0,0,0,0,0.2,0.3,0.4,0.5,0.7,0.9,1,1.2,1.3,1.6,1.8,2,2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.6,3.6,3.6
60,"BMU","Bermuda",42.1,42.5,43.2,43.9,45,46.2,47.1,48.5,49.9,51.1,52.3,53.8,55.1,56.8,58.6,60.4,61.9,63.2,64.4,65.3,65.6,65.6,66.1,66.6,67.2,67.7,68.1,68.1,68.1,68.1
64,"BTN","Bhutan",0,0,0,0,0,0,0,0.1,0.3,0.6,0.9,1.4,2.1,2.8,3.5,4.3,4.8,5.3,5.7,6.1,6.5,6.9,7.3,7.8,8.2,8.6,9,9,9,9
68,"BOL","Bolivia",17.6,17.9,18.2,18.4,18.7,18.8,18.9,19.2,19.7,20.2,20.7,21.3,21.9,22.5,22.9,23.3,23.8,24.3,24.9,25.6,26.4,27.4,28.4,29.1,29.8,30.4,30.9,30.9,30.9,30.9
70,"BIH","Bosnia and Herzegovina",29,31.9,35.4,38.4,41.1,43.2,45.3,47.4,48.9,49.2,49.3,49.3,49.6,49.7,49.6,49.3,48.9,49.7,50.5,51.3,52.1,53,53.9,54.6,55.4,55.9,56.5,56.5,56.5,56.5
72,"BWA","Botswana",6.3,6.6,7,7.3,7.7,8.1,8.4,8.7,9,9.3,9.5,9.6,9.6,9.6,9.7,9.8,9.8,10,10.1,10.5,10.7,11,11.3,11.5,11.8,11.9,12.1,12.1,12.1,12.1
76,"BRA","Brazil",21.6,22.2,22.8,23.4,23.9,24.5,25.1,25.7,26.4,26.6,26.7,26.9,27.2,27.5,27.9,28.4,29.1,30,30.8,31.8,32.5,33.2,33.9,34.5,35.2,35.7,36.3,36.3,36.3,36.3
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",53.7,55.2,56.8,58.3,60,61.8,63.7,65.4,66.2,67,67.8,68.6,69.2,70,70.9,71.9,73,73.4,73.7,74.2,74.6,75.1,75.7,76.2,76.9,77.4,78,78,78,78
100,"BGR","Bulgaria",87.2,87.4,87.5,85.8,84.3,84.5,85,85.2,85.2,85.2,85.3,85,85,84.3,84.4,85.1,84.8,85.4,85.8,86.6,87.4,87.9,88.5,89.3,90,90.5,91,91,91,91
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0.9,1.2,1.6,1.8,1.9,2.1,2.3,2.4,2.6,2.7,2.7,2.7,2.7
108,"BDI","Burundi",1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3,2.5,2.7,2.9,3,3,3,3.1,3.1,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5
132,"CPV","Cabo Verde",1.9,2,2.2,2.4,2.6,2.8,2.9,3.1,3.3,3.4,3.6,3.7,3.9,4.1,4.2,4.3,4.8,5.3,5.9,6.5,6.9,7.2,7.5,7.9,8.2,8.5,8.7,8.7,8.7,8.7
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0.1,0.6,1.1,1.6,2.2,2.8,3.5,4.2,5.1,5.7,6.2,6.8,7.3,7.9,8.4,8.9,9.3,9.3,9.3,9.3
120,"CMR","Cameroon",5.7,5.6,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.4,5.4,5.4,5.7,5.9,6.2,6.6,7,7.4,7.8,8.2,8.7,9.1,9.5,9.9,10.4,10.8,11.2,11.2,11.2,11.2
124,"CAN","Canada",67.4,68.9,70.1,71.1,72.5,74,75.5,76.7,77.5,78.2,78.8,79.2,79.4,79.9,80.7,81.6,82.4,82.9,83.4,83.9,84.4,84.9,85.3,85.7,86.2,86.4,86.6,86.6,86.6,86.6
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",2.6,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,3,3.1,3.2,3.3,3.5,3.5,3.5,3.5
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2
152,"CHL","Chile",24.6,26.4,28.3,30.3,32.4,34.4,36.6,39,40.3,41.3,42.1,43,43.7,44.5,45.5,46.9,48.3,49.7,50.7,51.8,53.6,54.8,56,57.1,58.1,58.8,59.4,59.4,59.4,59.4
156,"CHN","China",2.1,2.7,3.4,4,4.7,5.4,6.4,7.6,8.4,9.2,10.2,11.2,12.3,13.4,14.5,15.6,16.6,17.3,18.2,19.3,19.7,20.1,21.4,22.5,23.6,24.4,25.3,25.3,25.3,25.3
170,"COL","Colombia",25.1,25.8,26.4,26.7,26.8,27,26.9,26.9,26.8,26.8,26.8,27.9,29.3,30.7,31.8,33.1,34.2,35.3,36.3,37.3,38.2,39.1,39.9,40.4,41.2,41.9,42.5,42.5,42.5,42.5
174,"COM","Comoros",4,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.8,6,6.2,6.4,6.7,7,7.3,7.5,7.7,7.7,7.7,7.7
184,"COK","Cook Islands",31,31.7,33.1,33.9,34.8,35.9,37.1,38.3,39.5,40.4,41.3,42.4,43.5,45,45.2,45.2,45.1,45,44.9,44.9,44.9,44.9,45.8,46.6,47.6,48.4,49.2,49.2,49.2,49.2
188,"CRI","Costa Rica",35.1,36.1,37.2,38.5,40,41.5,42.8,44.1,45.3,46.6,47.8,49.4,49.7,50.2,50.9,51.8,53,54.4,55.9,57.6,59.3,60.8,61.5,62.1,62.9,63.6,64.3,64.3,64.3,64.3
384,"CIV","Cote d'Ivoire",3.9,3.9,3.9,3.9,4,4.1,4.2,4.2,4.3,4.3,4.2,4.3,4.4,4.6,4.9,5.1,5.4,5.7,6.1,6.5,7,7.4,8,8.4,8.9,9.3,9.8,9.8,9.8,9.8
191,"HRV","Croatia",73.6,73.8,75.1,76.5,77.4,79,80.5,81.9,83.4,83.8,84.4,85.1,85.3,85.6,86.1,86.5,86.6,87.3,88,88.8,89.6,90.4,91.3,92.1,93,93.5,94,94,94,94
192,"CUB","Cuba",33.1,33.4,33.7,33.5,34.4,35.5,36.1,37.6,39.3,40.3,41.6,43.4,43.4,43.3,43.9,44.4,45.2,46.3,47.2,47.8,48.4,49.4,50.2,51.1,51.9,52.5,53.1,53.1,53.1,53.1
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",68.9,71.4,73.8,76.1,78.3,80.6,82.8,85.3,86.8,88.2,89.5,91,92.8,94.7,96.5,98.1,99.7,100,100,100,100,100,100,100,100,100,100,100,100,100
203,"CZE","Czech Republic",96,97.7,98.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",2.6,2.4,2.2,2,1.8,1.6,1.5,1.3,1.2,1.1,1.1,1.1,1.2,1.4,1.5,1.7,2.3,2.9,3.7,4.3,5,5.7,6.2,6.6,7.1,7.4,7.8,7.8,7.8,7.8
208,"DNK","Denmark",90.1,91.7,93.3,94.7,96.1,97.6,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",3,3.1,3.2,3.3,3.5,3.7,3.8,4,4.2,4.5,4.7,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6.1,6.4,6.8,7.2,7.6,8,8.4,8.4,8.4,8.4
212,"DMA","Dominica",22.4,23.6,24.8,26.1,27.6,29.1,30,31.2,32.4,33.5,34.7,36,37.2,38.7,40.2,41.6,42.9,44.1,45.2,46,46.6,47.1,47.4,47.8,48.4,48.8,49.2,49.2,49.2,49.2
